feature_name,importance
published_time_diff_min-published_time_diff,1272131.393128872
published_time_diff_median-published_time_diff,870349.9663724899
published_time_diff,859759.8740158081
category,844933.948182106
count_article_ids_inview,790991.0522880554
past_inview_count_rank,789692.8580579758
past_category_ratio,574481.2201495171
published_time_diff_rank,517482.0255703926
article_label_negative_score,471681.8321251869
number_of_images,339638.7149486542
published_time_diff_median,324620.4150314331
published_time_diff_median/published_time_diff,282420.64012002945
multilingual-e5-large-instruct_individual_quantile_q90_cossim_norm,257821.2985305786
time_gap_to_next_inview_impression_time,254875.31526470184
premium,220154.7340965271
article_label_neutral_score,211518.24114465714
article_label_positive_score,152520.14042568207
multilingual-e5-large-instruct_individual_max_cossim_norm,141944.18269777298
published_time_diff_kurtosis,131174.48447084427
category_click_cossim_multilingual-e5-large-instruct_scroll_mean,125419.16606712341
hour,116268.69043684006
published_time_diff_skew,113859.74181175232
user_last_impression_time-publish_time_diff,106807.99981212616
weekday,99941.43373346329
category_click_cossim_multilingual-e5-large-instruct_read_time_mean,96794.90792560577
time_gap_to_next_inview_impression_time_rank,78287.11854696274
mean_history_published_time_diff,76909.5394654274
click_cossim_multilingual-e5-large-instruct_scroll_mean_0,74725.20426750183
click_cossim_multilingual-e5-large-instruct_mean_0,67539.3705534935
multilingual-e5-large-instruct_individual_quantile_q10_cossim_norm,64689.90295171738
published_time_diff_min,62005.070172309875
published_time_diff_max-published_time_diff,61828.948658943176
published_time_diff_std,59608.07757520676
published_time_diff_mean,54729.10962963104
published_time_diff_mean/published_time_diff,52908.361421108246
category_click_cossim_multilingual-e5-large-instruct_mean,52686.48938083649
article_read_count_v2,52357.122054576874
published_time_diff_mean-published_time_diff,51717.69084072113
multilingual-e5-large-instruct_individual_quantile_q25_cossim_norm,50851.322842121124
published_time_diff_max/published_time_diff,48193.83177614212
device_type,47901.71195745468
published_time_diff_max,45284.829971790314
published_time_diff_min/published_time_diff,44128.505858421326
click_cossim_multilingual-e5-large-instruct_read_time_mean_0,42992.790846824646
published_time_diff_norm,39724.81581068039
median_history_published_time_diff,32622.331609725952
past_inview_count_median/past_inview_count,32278.06886959076
past_inview_count_mean-past_inview_count,27821.872064113617
past_category_count,27549.09428882599
click_cossim_item2vec_mean_2,26728.942461013794
multilingual-e5-large-instruct_individual_median_cossim_norm,24020.93104839325
max_past_category_count_count,22843.619582653046
published_time_diff_min-published_time_diff_rank,22619.40514564514
time_gap_to_next_inview_impression_time_max-time_gap_to_next_inview_impression_time,22386.71827363968
multilingual-e5-large-instruct_individual_min_cossim_norm,21214.45437145233
time_gap_to_next_inview_impression_time_min/time_gap_to_next_inview_impression_time,20320.7395195961
multilingual-e5-large-instruct_individual_quantile_q75_cossim_norm,19525.92142868042
past_inview_count_median-past_inview_count,19132.694737911224
multilingual-e5-large-instruct_individual_mean_cossim_norm,18561.582761764526
click_cossim_item2vec_scroll_mean_3,17634.49557685852
time_gap_to_next_inview_impression_time_max,17559.572153568268
past_inview_count_skew,17088.91091442108
past_inview_count,16894.09501171112
past_inview_count_min/past_inview_count,16378.91411113739
click_cossim_multilingual-e5-large-instruct_mean_1,16160.127732753754
is_premium_subscriber,15205.295783042908
click_cossim_item2vec_scroll_mean_0,14452.956513404846
article_last_read_time_diff,13375.94032049179
min_history_published_time_diff,13302.661530971527
time_gap_to_next_inview_impression_time_mean-time_gap_to_next_inview_impression_time,13073.595816612244
time_gap_to_next_inview_impression_time_median/time_gap_to_next_inview_impression_time,12970.246481895447
time_gap_to_next_inview_impression_time_median,12700.013069152832
max_history_published_time_diff,12100.108768939972
time_gap_to_next_inview_impression_time_min,9272.22785949707
past_inview_count_mean/past_inview_count,8857.327161312103
time_gap_to_next_inview_impression_time_mean,8412.426283359528
click_cossim_item2vec_mean_0,7717.8389544487
time_gap_to_next_inview_impression_time_median-time_gap_to_next_inview_impression_time,7481.140438079834
past_inview_count_kurtosis,7389.177878379822
minute,6895.511716842651
past_inview_count_std,6570.474016666412
click_cossim_item2vec_mean_1,6542.333186626434
past_inview_count_min-past_inview_count,6434.054983139038
past_inview_count_mean,5710.12965965271
time_gap_to_next_inview_impression_time_mean/time_gap_to_next_inview_impression_time,5377.828691482544
time_gap_to_next_inview_impression_time_std,4830.932649612427
time_gap_to_next_inview_impression_time_skew,4652.491995811462
second,4539.353656291962
click_cossim_item2vec_scroll_mean_2,3704.7807421684265
time_gap_to_next_inview_impression_time_kurtosis,3650.573488712311
click_cossim_item2vec_read_time_mean_0,3502.9123163223267
click_cossim_item2vec_read_time_mean_3,3317.8072209358215
time_gap_to_next_inview_impression_time_max/time_gap_to_next_inview_impression_time,3109.0184864997864
click_cossim_item2vec_mean_3,2977.2707357406616
time_gap_to_next_inview_impression_time_min-time_gap_to_next_inview_impression_time,2527.2094407081604
click_cossim_item2vec_read_time_mean_2,2445.0348052978516
past_inview_count_median,2167.01571559906
past_inview_count_max/past_inview_count,1535.01500415802
past_inview_count_max-past_inview_count,1241.5312690734863
past_inview_count_max,1165.586441040039
is_subscriber,1015.2092971801758
article_read_count,497.722975730896
gender,453.4580383300781
postcode,424.82367038726807
age,415.0352272987366
is_sso_user,411.44820976257324
past_inview_count_min,167.5482816696167
