feature_name,importance
published_time_diff,1383624.670584917
published_time_diff_min-published_time_diff,1169029.3002698421
count_article_ids_inview,845816.351777792
pageviews/inviews,645970.3130002022
past_inview_count_rank,521485.1908903122
published_time_diff_median,449122.1325273514
cooccur_count_sum,422781.3932132721
category,406652.31038713455
published_time_diff_skew,396142.69832110405
mean_count_article_ids_inview,349529.4000790119
cossim__multilingual-e5-large-instruct__is_subscriber,347359.0117790699
past_category_ratio,322370.6568310261
published_time_diff_median-published_time_diff,309873.524964571
rounded_3m_inview_count_rank,278480.80609178543
multilingual-e5-large-instruct_individual_quantile_q90_cossim_norm,271166.2099840641
total_pageviews,261131.2188322544
rounded_3m_inview_count_median/rounded_3m_inview_count,243341.94836616516
click_cossim_multilingual-e5-large-instruct_scroll_mean_0,240578.2516424656
rounded_2m_inview_count_rank,217675.74528741837
rounded_5m_inview_count_rank,214984.88935279846
rounded_2m_inview_count_median/rounded_2m_inview_count,193701.94733166695
rounded_15m_inview_count_rank,185438.5362443924
read_time/inviews,178106.73957920074
published_time_diff_kurtosis,175050.9382340908
total_inviews,165907.14862513542
click_cossim_multilingual-e5-large-instruct_mean_0,161798.50820875168
time_gap_to_next_inview_impression_time,161682.8722538948
cossim__multilingual-e5-large-instruct__is_sso_user,159770.72542095184
published_time_diff_median/published_time_diff,156623.51547145844
cossim__multilingual-e5-large-instruct__device_type,153964.33569216728
rounded_5m_inview_count_median/rounded_5m_inview_count,145817.96467494965
rounded_10m_inview_count_rank,141500.07393980026
inview_cossim_multilingual-e5-large-instruct_impression_id,137748.94216775894
rounded_30m_inview_count_rank,127638.64561724663
next_impression_id_mean_cossim,124611.78743481636
rounded_1h_inview_count_rank,121137.68183493614
device_type,119948.22153687477
click_cossim_multilingual-e5-large-instruct_read_time_mean_0,117581.61695504189
published_time_diff_rank,117260.21849370003
multilingual-e5-large-instruct_individual_max_cossim_norm,117226.10815191269
cooccur_count_max,116830.61440420151
cooccur_count_std,115900.38455438614
inview_count_rank,111772.20775866508
category_click_cossim_multilingual-e5-large-instruct_scroll_mean,101183.56819939613
rounded_3h_inview_count_median/rounded_3h_inview_count,100185.69835782051
rounded_20m_inview_count_rank,96951.98080205917
rounded_1m_inview_count_rank,95979.92921948433
total_inviews_kurtosis,95310.27278065681
category_click_cossim_multilingual-e5-large-instruct_read_time_mean,91692.39709329605
median_count_article_ids_inview,86897.24182391167
cooccur_count_max_norm,84913.29445314407
next_impression_id_mean_cossim_rank,83355.60375857353
rounded_10m_inview_count_median/rounded_10m_inview_count,77766.85974884033
total_inviews_norm_rank,71296.46292281151
read_time,69716.05576324463
time_gap_to_next_inview_impression_time_rank,67586.00146198273
rounded_15m_inview_count_median/rounded_15m_inview_count,66485.34785151482
mean_history_published_time_diff,63627.39219999313
cooccur_count_min_norm,63558.68146657944
total_read_time,63242.09480428696
published_time_diff_min,62891.35924696922
rounded_1h_inview_count_median/rounded_1h_inview_count,61652.112173080444
time_gap_from_prev_inview_impression_time,61499.90413022041
rounded_5m_inview_count_median-rounded_5m_inview_count,58952.38891506195
total_inviews_norm,58804.1294734478
published_time_diff_mean,58608.46473503113
published_time_diff_mean-published_time_diff,54565.23321533203
max_past_category_count_count,53456.658408641815
past_inview_count_min/past_inview_count,53125.86963224411
total_pageviews_min,51346.622621297836
cooccur_count_min,50780.03027844429
article_label_negative_score,50315.480281353
published_time_diff_max,50008.41806602478
total_pageviews_norm_rank,48938.24148249626
total_inviews_std,48643.099462747574
total_inviews_min,45315.07704615593
rounded_1h_inview_count_kurtosis,44322.310885190964
rounded_20m_inview_count_median/rounded_20m_inview_count,43470.37546539307
rounded_12h_inview_count_max-rounded_12h_inview_count,42494.29727125168
cooccur_count_mean,42040.873922109604
premium,40742.108780384064
published_time_diff_max-published_time_diff,40237.057084321976
rounded_2m_inview_count_median-rounded_2m_inview_count,39971.37199282646
user_last_impression_time-publish_time_diff,39896.01358819008
published_time_diff_std,39756.74384880066
time_gap_from_prev_inview_impression_time_rank,39753.99185657501
rounded_24h_inview_count_max-rounded_24h_inview_count,39578.02708244324
published_time_diff_min-published_time_diff_rank,39257.9471347332
total_pageviews_mean,39235.186717033386
total_pageviews_norm,37841.54429268837
scroll_percentage,36953.42867732048
past_inview_count_median/past_inview_count,36625.54077410698
time_gap_from_prev_inview_impression_time_max,36453.91269016266
rounded_3h_inview_count_rank,36054.97341966629
total_read_time_norm,35952.05628633499
median_history_published_time_diff,35134.58573913574
cooccur_count_std_norm,35039.61145401001
rounded_1m_inview_count_median/rounded_1m_inview_count,35009.61436676979
published_time_diff_mean/published_time_diff,34743.87695431709
cooccur_count_sum_norm,34535.35640668869
inview_count_skew,33640.332693099976
rounded_6h_inview_count_median/rounded_6h_inview_count,33606.30333137512
rounded_30m_inview_count_median/rounded_30m_inview_count,33312.346834897995
rounded_24h_inview_count,32994.27709579468
article_label_neutral_score,32721.515848636627
category_click_cossim_multilingual-e5-large-instruct_mean,32144.920654058456
rounded_2m_inview_count_norm,31692.716572761536
number_of_images,31282.88000535965
rounded_6h_inview_count,31241.58594560623
rounded_12h_inview_count,30501.182643175125
past_category_count,30319.796378850937
inview_cossim_multilingual-e5-large-instruct_user_id,30076.716613292694
click_cossim_multilingual-e5-large-instruct_mean_1,29798.284523010254
total_inviews_skew,29063.392575263977
article_label_positive_score,28774.09428882599
total_read_time_min,27919.45001244545
total_inviews_mean,27448.906505584717
published_time_diff_max/published_time_diff,27132.693522930145
hour,26754.074735164642
inview_count_mean-inview_count,26376.034843206406
inview_count_mean/inview_count,25703.57875609398
total_read_time_norm_rank,25595.11053586006
min_history_published_time_diff,25294.10554265976
rounded_1h_inview_count_skew,25016.059067964554
rounded_12h_inview_count_median/rounded_12h_inview_count,24977.90242910385
total_inviews_median,24892.019660949707
rounded_1h_inview_count_min/rounded_1h_inview_count,24867.297354221344
rounded_2h_inview_count_norm,24819.04284620285
rounded_30m_inview_count_kurtosis,24610.40091776848
inview_count_min/inview_count,24305.435725450516
rounded_3m_inview_count_max-rounded_3m_inview_count,24089.222400188446
rounded_15m_inview_count_median-rounded_15m_inview_count,23768.076325654984
rounded_2m_inview_count_min-rounded_2m_inview_count,23636.44993829727
rounded_3m_inview_count_min/rounded_3m_inview_count,23609.7686316967
inview_cossim_multilingual-e5-large-instruct_session_id,23594.240441799164
next_impression_id_max_cossim,23437.60911655426
rounded_2h_inview_count,23408.78800201416
published_time_diff_norm,23290.891747236252
rounded_3h_inview_count_max-rounded_3h_inview_count,23274.18597817421
rounded_3m_inview_count_median-rounded_3m_inview_count,23084.129196882248
max_history_published_time_diff,23005.088050842285
total_pageviews_std,22961.36316394806
next_impression_id_min_cossim,22949.062335968018
rounded_3h_inview_count_kurtosis,22410.893587827682
rounded_1m_inview_count_min/rounded_1m_inview_count,22360.575085639954
rounded_12h_inview_count_min,22217.682560920715
rounded_10m_inview_count_median-rounded_10m_inview_count,21929.404638767242
rounded_3h_inview_count,21592.508456468582
next_impression_id_max_cossim_rank,21580.49968099594
past_inview_count_mean-past_inview_count,21542.12485408783
rounded_24h_inview_count_max,21307.729555368423
multilingual-e5-large-instruct_individual_quantile_q75_cossim_norm,21198.74522614479
is_premium_subscriber,21136.824823856354
next_impression_id_min_cossim_rank,21001.557193040848
rounded_2m_inview_count_max/rounded_2m_inview_count,20798.471784591675
total_pageviews_median,20585.673939704895
rounded_3h_inview_count_mean/rounded_3h_inview_count,20561.22214627266
total_pageviews_skew,20553.53555393219
rounded_1h_inview_count_mean/rounded_1h_inview_count,20483.714896440506
rounded_20m_inview_count_kurtosis,20097.34412097931
rounded_1h_inview_count,19954.715584993362
inview_count_median-inview_count,19924.26231789589
multilingual-e5-large-instruct_individual_min_cossim_norm,19873.20897579193
rounded_5m_inview_count_norm,19841.232393980026
total_read_time_kurtosis,19696.20926141739
rounded_24h_inview_count_median-rounded_24h_inview_count,19653.97612929344
rounded_24h_inview_count_min,19645.356823682785
total_read_time_skew,19636.68373823166
rounded_24h_inview_count_kurtosis,19622.575114011765
rounded_3h_inview_count_mean-rounded_3h_inview_count,19614.018023967743
rounded_12h_inview_count_std,19612.74206638336
rounded_24h_inview_count_mean/rounded_24h_inview_count,19488.616510629654
published_time_diff_min/published_time_diff,19419.323434114456
rounded_12h_inview_count_mean/rounded_12h_inview_count,19176.63766503334
rounded_6h_inview_count_min-rounded_6h_inview_count,19152.324676036835
rounded_1m_inview_count_median-rounded_1m_inview_count,19115.603915691376
total_read_time_median,18974.717193841934
inview_count_kurtosis,18877.641094207764
total_pageviews_kurtosis,18731.742099285126
rounded_15m_inview_count_min/rounded_15m_inview_count,18648.16445350647
rounded_5m_inview_count_min-rounded_5m_inview_count,18455.159954309464
past_inview_count_skew,18430.493156671524
rounded_3h_inview_count_median-rounded_3h_inview_count,18161.393662929535
inview_count_median/inview_count,17963.081052303314
time_gap_to_next_inview_impression_time_max,17935.349356889725
rounded_12h_inview_count_median-rounded_12h_inview_count,17920.680038928986
rounded_24h_inview_count_min-rounded_24h_inview_count,17907.0151181221
rounded_24h_inview_count_mean-rounded_24h_inview_count,17804.392627954483
past_inview_count_mean/past_inview_count,17555.021048784256
rounded_15m_inview_count_kurtosis,17507.265773296356
rounded_6h_inview_count_max,17462.019976615906
rounded_12h_inview_count_skew,17294.47393846512
time_gap_from_prev_inview_impression_time_median,17201.567564725876
rounded_6h_inview_count_max-rounded_6h_inview_count,17200.96693277359
rounded_6h_inview_count_rank,17057.217751026154
rounded_24h_inview_count_median/rounded_24h_inview_count,16926.183777332306
rounded_12h_inview_count_kurtosis,16881.159066677094
rounded_12h_inview_count_min-rounded_12h_inview_count,16836.485158205032
rounded_10m_inview_count_max/rounded_10m_inview_count,16798.32286977768
