feature_name,importance
published_time_diff,1364980.5180437565
published_time_diff_min-published_time_diff,1173031.992584467
count_article_ids_inview,775018.5785732269
pageviews/inviews,614627.174639225
past_category_ratio,583337.2565352917
past_inview_count_rank,559161.6305494308
category,556111.3847370148
published_time_diff_median,453254.66178274155
cooccur_count_sum,426106.3876025677
published_time_diff_skew,416033.4950516224
mean_count_article_ids_inview,348808.78298282623
published_time_diff_median-published_time_diff,314836.72693276405
total_pageviews,297080.55167245865
rounded_3m_inview_count_rank,273469.3847949505
published_time_diff_kurtosis,246423.35296607018
rounded_3m_inview_count_median/rounded_3m_inview_count,225239.61033058167
rounded_2m_inview_count_rank,217875.82230114937
rounded_2m_inview_count_median/rounded_2m_inview_count,212180.59603643417
rounded_5m_inview_count_rank,210242.036986351
read_time/inviews,201443.37320113182
rounded_15m_inview_count_rank,189574.2702205181
time_gap_to_next_inview_impression_time,166547.37003922462
total_inviews,159351.10848784447
published_time_diff_median/published_time_diff,152293.44856619835
rounded_10m_inview_count_rank,141328.3850762844
rounded_30m_inview_count_rank,136648.6960375309
device_type,128669.62523198128
rounded_5m_inview_count_median/rounded_5m_inview_count,127794.49407100677
rounded_1h_inview_count_rank,126165.03875374794
inview_count_rank,121622.78138947487
published_time_diff_rank,115408.16993117332
cooccur_count_max,114040.34513521194
cooccur_count_std,107858.38382458687
total_inviews_kurtosis,105421.54821395874
rounded_3h_inview_count_median/rounded_3h_inview_count,102446.13922858238
time_gap_from_prev_inview_impression_time,97839.57665133476
rounded_20m_inview_count_rank,91517.11117339134
cooccur_count_max_norm,90795.66601490974
rounded_1m_inview_count_rank,87116.36465454102
rounded_10m_inview_count_median/rounded_10m_inview_count,85256.36942410469
median_count_article_ids_inview,84857.8976802826
cooccur_count_min_norm,76586.624751091
category_click_cossim_bert_scroll_mean,74719.48348760605
read_time,73411.26182746887
mean_history_published_time_diff,72401.99162077904
rounded_15m_inview_count_median/rounded_15m_inview_count,70797.02848052979
total_inviews_norm_rank,69902.95915746689
time_gap_to_next_inview_impression_time_rank,68345.75188469887
total_read_time,66739.8295841217
published_time_diff_mean-published_time_diff,66546.1309735775
