feature_name,importance
published_time_diff,1361902.215047121
published_time_diff_min-published_time_diff,1195638.1649267673
count_article_ids_inview,816367.050180912
pageviews/inviews,637478.1455621719
past_inview_count_rank,521779.66524481773
cooccur_count_sum,449996.764936924
published_time_diff_median,447051.56598472595
category,444418.86006975174
published_time_diff_skew,381498.9594979286
past_category_ratio,360068.934687376
mean_count_article_ids_inview,349262.7794389725
published_time_diff_median-published_time_diff,323975.8850328922
total_pageviews,272913.585593462
rounded_3m_inview_count_rank,262629.5616309643
bge-m3_individual_quantile_q90_cossim_norm,238431.59117627144
rounded_3m_inview_count_median/rounded_3m_inview_count,215380.81165981293
rounded_5m_inview_count_rank,213656.75311684608
published_time_diff_kurtosis,212464.93049788475
cossim__bge-m3__is_subscriber,210740.58175182343
rounded_2m_inview_count_rank,210107.64737677574
rounded_15m_inview_count_rank,207683.1662516594
click_cossim_bge-m3_scroll_mean_0,207600.02915859222
rounded_2m_inview_count_median/rounded_2m_inview_count,197210.74216985703
read_time/inviews,180298.9053542614
cossim__bge-m3__device_type,176077.9108633995
cossim__bge-m3__is_sso_user,171924.11858081818
time_gap_to_next_inview_impression_time,164657.06636929512
click_cossim_bge-m3_mean_0,161709.63449978828
total_inviews,152312.6653008461
category_click_cossim_bge-m3_scroll_mean,145792.12332868576
rounded_5m_inview_count_median/rounded_5m_inview_count,144895.75746965408
rounded_10m_inview_count_rank,144149.2535071373
inview_cossim_bge-m3_impression_id,140827.829028368
published_time_diff_median/published_time_diff,137876.42691922188
rounded_30m_inview_count_rank,127392.48785877228
inview_count_rank,122821.8509812355
rounded_1h_inview_count_rank,122001.9828608036
published_time_diff_rank,121359.27305984497
device_type,120656.28761410713
cooccur_count_max,119246.35381698608
category_click_cossim_bge-m3_read_time_mean,119062.57099747658
cooccur_count_std,116123.2243180275
next_impression_id_mean_cossim,114431.0849108696
rounded_20m_inview_count_rank,102390.98921561241
bge-m3_individual_max_cossim_norm,101623.89565515518
total_inviews_kurtosis,98356.08506321907
rounded_3h_inview_count_median/rounded_3h_inview_count,97816.95358133316
next_impression_id_mean_cossim_rank,95645.7569410801
median_count_article_ids_inview,94913.44492816925
rounded_1m_inview_count_rank,90563.69004559517
cooccur_count_max_norm,86036.1337594986
rounded_10m_inview_count_median/rounded_10m_inview_count,79364.48495936394
click_cossim_bge-m3_read_time_mean_0,73682.20992684364
read_time,72081.92343616486
total_inviews_norm_rank,71960.12062454224
time_gap_to_next_inview_impression_time_rank,71508.5021033287
rounded_15m_inview_count_median/rounded_15m_inview_count,66617.51836013794
total_inviews_norm,66106.26669478416
cooccur_count_min_norm,65205.93332362175
published_time_diff_min,64456.11111283302
