feature_name,importance
published_time_diff,1321793.2991945744
published_time_diff_min-published_time_diff,1225270.2611908913
count_article_ids_inview,785945.4588091373
pageviews/inviews,646857.6390435696
past_inview_count_rank,524949.7254703045
cooccur_count_sum,449262.8659477234
published_time_diff_median,442177.0076675415
category,413731.7891237736
mean_count_article_ids_inview,367655.8648262024
past_category_ratio,357425.7743573189
published_time_diff_skew,353147.5061907768
published_time_diff_median-published_time_diff,326247.35193395615
rounded_3m_inview_count_rank,303938.30719828606
total_pageviews,265811.39070272446
contrastive_individual_quantile_q90_cossim_norm,244974.33863449097
published_time_diff_kurtosis,228635.46932125092
next_impression_id_mean_cossim,226447.25347399712
rounded_15m_inview_count_rank,221931.50216770172
rounded_2m_inview_count_rank,220184.29914069176
rounded_3m_inview_count_median/rounded_3m_inview_count,219809.2423160076
cossim__contrastive__is_subscriber,203504.63647913933
rounded_5m_inview_count_rank,200827.73645734787
click_cossim_contrastive_scroll_mean_0,197563.74732637405
inview_cossim_contrastive_impression_id,190002.61588597298
read_time/inviews,181826.1518008709
rounded_2m_inview_count_median/rounded_2m_inview_count,180752.52274560928
cossim__contrastive__device_type,176450.91332817078
time_gap_to_next_inview_impression_time,167032.6179511547
total_inviews,158820.2096977234
rounded_5m_inview_count_median/rounded_5m_inview_count,155821.45046162605
rounded_10m_inview_count_rank,151566.68660855293
published_time_diff_median/published_time_diff,147404.28250908852
cossim__contrastive__is_sso_user,144882.42866396904
rounded_30m_inview_count_rank,133503.589104414
click_cossim_contrastive_read_time_mean_0,133181.41847777367
click_cossim_contrastive_mean_0,132436.97734689713
cooccur_count_max,124741.73081707954
contrastive_individual_max_cossim_norm,122732.16013646126
device_type,116999.54602146149
rounded_1h_inview_count_rank,116545.34104800224
cooccur_count_std,115721.82696008682
inview_count_rank,113502.52593135834
published_time_diff_rank,107206.36091804504
total_inviews_kurtosis,103429.22398328781
rounded_3h_inview_count_median/rounded_3h_inview_count,96309.73802161217
rounded_1m_inview_count_rank,86541.14954948425
rounded_10m_inview_count_median/rounded_10m_inview_count,86375.10884809494
next_impression_id_mean_cossim_rank,85845.80504727364
category_click_cossim_contrastive_scroll_mean,85114.94626188278
rounded_15m_inview_count_median/rounded_15m_inview_count,82392.8249361515
cooccur_count_max_norm,81850.5726993084
median_count_article_ids_inview,81723.55577015877
rounded_20m_inview_count_rank,80505.92365527153
rounded_1h_inview_count_median/rounded_1h_inview_count,76489.28886270523
total_inviews_norm_rank,76124.67542099953
read_time,70999.61156320572
time_gap_from_prev_inview_impression_time,68940.36719751358
mean_history_published_time_diff,68512.66371154785
rounded_5m_inview_count_median-rounded_5m_inview_count,66167.19301223755
cooccur_count_min_norm,64153.15380716324
time_gap_to_next_inview_impression_time_rank,64023.955015182495
article_label_negative_score,62876.788633584976
total_inviews_norm,62032.583860874176
category_click_cossim_contrastive_read_time_mean,61987.98537445068
published_time_diff_mean-published_time_diff,61861.981778383255
total_read_time,61375.902534246445
published_time_diff_min,60562.63800191879
published_time_diff_mean,56643.14066982269
total_pageviews_norm_rank,53144.23303222656
rounded_24h_inview_count_max-rounded_24h_inview_count,50629.11211681366
cooccur_count_min,49823.79167985916
total_inviews_min,48801.422790288925
total_inviews_std,48240.9927380085
max_past_category_count_count,47973.76650977135
rounded_20m_inview_count_median/rounded_20m_inview_count,46400.57659101486
user_last_impression_time-publish_time_diff,46321.941917181015
published_time_diff_max,45360.14628410339
past_inview_count_min/past_inview_count,45093.299184560776
total_pageviews_min,44880.20135474205
total_pageviews_mean,44373.53327059746
published_time_diff_max-published_time_diff,43770.33449268341
cooccur_count_mean,43066.55089497566
time_gap_from_prev_inview_impression_time_rank,42785.01707530022
rounded_12h_inview_count_max-rounded_12h_inview_count,42314.05668973923
rounded_1h_inview_count_kurtosis,41845.693536281586
contrastive_individual_min_cossim_norm,41392.70228981972
rounded_2m_inview_count_median-rounded_2m_inview_count,41353.548723459244
total_pageviews_norm,41341.96525001526
time_gap_from_prev_inview_impression_time_max,41257.04604148865
scroll_percentage,40230.602620363235
median_history_published_time_diff,39877.58843636513
premium,39062.63141155243
rounded_24h_inview_count,38361.52797842026
rounded_3h_inview_count_rank,38211.4137969017
cooccur_count_sum_norm,37981.579976797104
total_read_time_norm,37808.955489873886
rounded_30m_inview_count_median/rounded_30m_inview_count,37802.969328165054
past_category_count,37699.87185502052
published_time_diff_min-published_time_diff_rank,36698.449927806854
inview_count_skew,36539.248129844666
rounded_1m_inview_count_median/rounded_1m_inview_count,36035.66167163849
past_inview_count_median/past_inview_count,35937.41007518768
published_time_diff_mean/published_time_diff,35738.66810274124
published_time_diff_std,34699.2963988781
rounded_12h_inview_count,34592.17680668831
category_click_cossim_contrastive_mean,34516.76002717018
inview_cossim_contrastive_user_id,34504.864213228226
cooccur_count_std_norm,33723.510476350784
rounded_6h_inview_count_median/rounded_6h_inview_count,31880.30393600464
published_time_diff_max/published_time_diff,31253.044498205185
rounded_6h_inview_count,31017.207095861435
click_cossim_contrastive_mean_1,30217.55575442314
min_history_published_time_diff,30082.248919010162
total_inviews_mean,29104.872851610184
total_read_time_min,28997.89098262787
rounded_2m_inview_count_norm,28895.228759288788
rounded_1h_inview_count_skew,28644.90123128891
inview_count_mean/inview_count,28623.16258096695
rounded_3m_inview_count_max-rounded_3m_inview_count,28212.034368038177
inview_count_mean-inview_count,28149.286730527878
total_inviews_skew,28142.86202764511
total_read_time_norm_rank,28016.39429140091
number_of_images,27919.13410115242
inview_cossim_contrastive_session_id,27189.933978796005
article_label_neutral_score,26915.23720574379
total_inviews_median,26869.17840242386
inview_count_min/inview_count,26211.1498131752
