feature_name,importance
published_time_diff,1370371.018702507
published_time_diff_min-published_time_diff,1183553.075218439
count_article_ids_inview,820985.8829755783
pageviews/inviews,633534.9827046394
past_inview_count_rank,520433.4238653183
published_time_diff_median,444422.59210157394
cooccur_count_sum,432440.8987708092
category,401080.64497470856
published_time_diff_skew,382085.8087544441
cossim__multilingual-e5-large-instruct__is_subscriber,351246.5391860008
mean_count_article_ids_inview,341634.56649160385
past_category_ratio,311856.70461297035
published_time_diff_median-published_time_diff,299046.5299677849
rounded_3m_inview_count_rank,290819.5948395729
multilingual-e5-large-instruct_individual_quantile_q90_cossim_norm,271980.1183667183
total_pageviews,260210.56715250015
rounded_3m_inview_count_median/rounded_3m_inview_count,247206.52970933914
click_cossim_multilingual-e5-large-instruct_scroll_mean_0,235106.20387125015
rounded_5m_inview_count_rank,220892.01023817062
rounded_2m_inview_count_rank,212117.8302335739
rounded_2m_inview_count_median/rounded_2m_inview_count,193297.64648747444
rounded_15m_inview_count_rank,188195.96611738205
published_time_diff_kurtosis,179973.9496049881
read_time/inviews,170589.76672124863
total_inviews,159890.78349781036
cossim__multilingual-e5-large-instruct__is_sso_user,159575.42312002182
time_gap_to_next_inview_impression_time,158993.05067658424
click_cossim_multilingual-e5-large-instruct_mean_0,157184.00019598007
published_time_diff_median/published_time_diff,157172.05891132355
rounded_5m_inview_count_median/rounded_5m_inview_count,148250.77806186676
cossim__multilingual-e5-large-instruct__device_type,147406.0280430317
rounded_10m_inview_count_rank,143155.20243549347
inview_cossim_multilingual-e5-large-instruct_impression_id,131988.90604686737
rounded_30m_inview_count_rank,128714.79395771027
device_type,121841.27469348907
cooccur_count_max,120669.60460472107
next_impression_id_mean_cossim,117213.29084634781
rounded_1h_inview_count_rank,115983.34416007996
multilingual-e5-large-instruct_individual_max_cossim_norm,111702.31991744041
published_time_diff_rank,109407.2649230957
inview_count_rank,107587.24410772324
click_cossim_multilingual-e5-large-instruct_read_time_mean_0,107459.34260511398
cooccur_count_std,106063.15533924103
category_click_cossim_multilingual-e5-large-instruct_scroll_mean,96200.8310649395
rounded_3h_inview_count_median/rounded_3h_inview_count,94609.10148143768
total_inviews_kurtosis,91703.09555315971
rounded_20m_inview_count_rank,90465.91277551651
median_count_article_ids_inview,86911.4583067894
category_click_cossim_multilingual-e5-large-instruct_read_time_mean,85028.7189245224
rounded_1m_inview_count_rank,82105.76027822495
next_impression_id_mean_cossim_rank,78973.09387207031
cooccur_count_max_norm,75461.29491901398
rounded_10m_inview_count_median/rounded_10m_inview_count,75228.67528820038
rounded_15m_inview_count_median/rounded_15m_inview_count,67616.34037685394
total_inviews_norm_rank,65479.4435737133
time_gap_to_next_inview_impression_time_rank,64608.97261118889
rounded_1h_inview_count_median/rounded_1h_inview_count,61936.8609418869
published_time_diff_min,61463.703825473785
read_time,60655.77001738548
mean_history_published_time_diff,58106.727922677994
time_gap_from_prev_inview_impression_time,56513.89316034317
total_read_time,55865.907417058945
cooccur_count_min_norm,55622.0474524498
published_time_diff_mean-published_time_diff,55397.904968738556
past_inview_count_min/past_inview_count,54803.62241792679
total_inviews_norm,54381.252554893494
rounded_5m_inview_count_median-rounded_5m_inview_count,53843.91292357445
published_time_diff_mean,52803.25577163696
cooccur_count_min,48520.568068027496
max_past_category_count_count,47994.627022743225
article_label_negative_score,47921.832246780396
published_time_diff_max,45582.83018493652
total_pageviews_min,45115.53788948059
rounded_2m_inview_count_median-rounded_2m_inview_count,44633.52192354202
total_pageviews_norm_rank,44307.66377711296
published_time_diff_max-published_time_diff,43889.20871925354
total_inviews_std,43713.11929130554
total_inviews_min,42456.50900936127
premium,41292.11088323593
rounded_12h_inview_count_max-rounded_12h_inview_count,40289.75215578079
rounded_20m_inview_count_median/rounded_20m_inview_count,40095.25726938248
rounded_1h_inview_count_kurtosis,40035.80385351181
cooccur_count_mean,39148.023209095
rounded_24h_inview_count_max-rounded_24h_inview_count,38468.467732429504
published_time_diff_min-published_time_diff_rank,38329.85626626015
scroll_percentage,36701.4086689949
time_gap_from_prev_inview_impression_time_rank,36544.193346977234
total_pageviews_mean,35782.78868341446
user_last_impression_time-publish_time_diff,35005.63974452019
published_time_diff_std,34428.774725914
rounded_6h_inview_count_median/rounded_6h_inview_count,33840.51615524292
rounded_2m_inview_count_norm,32647.080534934998
rounded_24h_inview_count,32111.74504184723
cooccur_count_sum_norm,31412.728281974792
rounded_3h_inview_count_rank,31059.55597639084
cooccur_count_std_norm,30930.049114227295
inview_count_skew,30766.971210479736
total_read_time_norm,30612.372923851013
time_gap_from_prev_inview_impression_time_max,30215.88719511032
article_label_neutral_score,29988.466331005096
total_pageviews_norm,29862.16745042801
published_time_diff_mean/published_time_diff,29805.4234623909
past_inview_count_median/past_inview_count,29432.40304517746
rounded_3m_inview_count_max-rounded_3m_inview_count,28932.38412952423
rounded_6h_inview_count,28377.266407966614
median_history_published_time_diff,28320.713606357574
number_of_images,28144.51132440567
rounded_12h_inview_count,27976.421614170074
rounded_30m_inview_count_median/rounded_30m_inview_count,26373.371257781982
