feature_name,importance
published_time_diff,1353309.2097029686
published_time_diff_min-published_time_diff,1173971.7278301716
count_article_ids_inview,783343.6632528305
pageviews/inviews,625796.4817421436
past_category_ratio,574892.307559967
category,540213.1508555412
past_inview_count_rank,538569.1559550762
published_time_diff_median,479977.48739242554
published_time_diff_skew,435714.52157473564
cooccur_count_sum,417736.73246622086
mean_count_article_ids_inview,343720.68297863007
published_time_diff_median-published_time_diff,299901.2765119076
total_pageviews,290985.7419075966
rounded_3m_inview_count_rank,268550.7282514572
published_time_diff_kurtosis,231813.3373966217
rounded_2m_inview_count_rank,223745.52839708328
rounded_3m_inview_count_median/rounded_3m_inview_count,216131.7620933056
read_time/inviews,208934.34168839455
rounded_2m_inview_count_median/rounded_2m_inview_count,203230.36465024948
rounded_5m_inview_count_rank,200876.26713061333
rounded_15m_inview_count_rank,198799.2207827568
total_inviews,172576.2735762596
rounded_10m_inview_count_rank,161175.1389427185
time_gap_to_next_inview_impression_time,158996.2139494419
published_time_diff_median/published_time_diff,154699.75040316582
rounded_30m_inview_count_rank,134189.06696534157
rounded_5m_inview_count_median/rounded_5m_inview_count,133768.17964577675
device_type,132515.721950531
rounded_1h_inview_count_rank,127646.24081277847
cooccur_count_max,123951.93153619766
inview_count_rank,122836.27987217903
published_time_diff_rank,120754.93825054169
time_gap_from_prev_inview_impression_time,104261.85964131355
rounded_3h_inview_count_median/rounded_3h_inview_count,103895.02571034431
cooccur_count_std,103228.55747318268
total_inviews_kurtosis,97621.43581581116
rounded_1m_inview_count_rank,95472.4967918396
cooccur_count_max_norm,95146.5002822876
median_count_article_ids_inview,92679.54625463486
rounded_10m_inview_count_median/rounded_10m_inview_count,92562.29025125504
rounded_20m_inview_count_rank,89185.7396132946
cooccur_count_min_norm,82289.43875193596
mean_history_published_time_diff,79422.24043655396
read_time,72648.67838001251
total_inviews_norm_rank,70750.4009718895
total_read_time,70525.49218583107
rounded_15m_inview_count_median/rounded_15m_inview_count,69236.76050877571
time_gap_to_next_inview_impression_time_rank,68919.41191625595
published_time_diff_mean-published_time_diff,68321.30528235435
published_time_diff_min,66305.65980100632
total_inviews_norm,61391.344012498856
article_label_negative_score,60264.945585012436
click_cossim_image_mean_0,58986.067684412
cooccur_count_min,58979.139852523804
rounded_5m_inview_count_median-rounded_5m_inview_count,58668.067053318024
total_pageviews_norm_rank,58077.75123119354
past_inview_count_min/past_inview_count,57927.45099925995
published_time_diff_mean,56484.331335783005
click_cossim_image_scroll_mean_0,56248.7209444046
rounded_24h_inview_count_max-rounded_24h_inview_count,54212.56864857674
rounded_1h_inview_count_median/rounded_1h_inview_count,54037.42028069496
cossim__image__is_subscriber,53939.92620062828
time_gap_from_prev_inview_impression_time_rank,53249.38102579117
total_pageviews_mean,52530.73044300079
cossim__image__device_type,52217.78757596016
total_inviews_std,51952.936361312866
published_time_diff_max,50678.8886449337
total_pageviews_norm,49223.60143017769
category_click_cossim_image_scroll_mean,48777.949899196625
rounded_20m_inview_count_median/rounded_20m_inview_count,48194.24158287048
