feature_name,importance
published_time_diff,1360270.6609187126
published_time_diff_min-published_time_diff,1156167.690371275
count_article_ids_inview,803448.6238868237
pageviews/inviews,665753.5438992977
past_inview_count_rank,540287.1037249565
category,478856.0431241989
published_time_diff_median,457462.3071074486
cooccur_count_sum,445434.02356004715
past_category_ratio,429452.767516613
published_time_diff_skew,393062.21867752075
mean_count_article_ids_inview,343245.21967577934
published_time_diff_median-published_time_diff,297966.96405529976
rounded_3m_inview_count_rank,280590.4731271267
total_pageviews,275007.49623537064
rounded_2m_inview_count_median/rounded_2m_inview_count,227697.02181911469
rounded_2m_inview_count_rank,224891.03291511536
rounded_3m_inview_count_median/rounded_3m_inview_count,217159.4907324314
rounded_15m_inview_count_rank,197304.04640698433
published_time_diff_kurtosis,190221.83790063858
rounded_5m_inview_count_rank,185743.28195405006
w2v_individual_quantile_q90_cossim_norm,180895.22441792488
inview_cossim_w2v_impression_id,179968.6200015545
cossim__w2v__is_subscriber,165009.8465001583
time_gap_to_next_inview_impression_time,161536.0774769783
read_time/inviews,156320.80230855942
published_time_diff_median/published_time_diff,150344.93372559547
total_inviews,145898.6536602974
rounded_30m_inview_count_rank,138247.61649227142
click_cossim_w2v_scroll_mean_0,135758.5250916481
rounded_10m_inview_count_rank,134489.91988182068
rounded_5m_inview_count_median/rounded_5m_inview_count,126873.81291007996
cossim__w2v__is_sso_user,124523.49595427513
rounded_1h_inview_count_rank,123243.1784992218
click_cossim_w2v_read_time_mean_0,122343.09727358818
cooccur_count_max,120831.39741897583
next_impression_id_mean_cossim,119258.84443974495
device_type,119206.37734746933
inview_count_rank,118547.4561445713
category_click_cossim_w2v_read_time_mean,118003.05614972115
cossim__w2v__device_type,116478.2686085701
published_time_diff_rank,113162.94146251678
cooccur_count_std,104643.59223651886
total_inviews_kurtosis,101254.36645078659
w2v_individual_max_cossim_norm,100672.07079815865
click_cossim_w2v_mean_0,99334.62428092957
category_click_cossim_w2v_scroll_mean,90528.22252750397
rounded_1m_inview_count_rank,90063.94934630394
rounded_3h_inview_count_median/rounded_3h_inview_count,85969.92808675766
rounded_10m_inview_count_median/rounded_10m_inview_count,85661.46315431595
rounded_20m_inview_count_rank,84608.13850140572
time_gap_from_prev_inview_impression_time,84349.28627252579
median_count_article_ids_inview,84196.34818220139
cooccur_count_max_norm,80116.11869120598
rounded_15m_inview_count_median/rounded_15m_inview_count,69291.6803677082
total_inviews_norm_rank,67614.99196410179
read_time,67523.74074077606
rounded_5m_inview_count_median-rounded_5m_inview_count,66963.91181778908
time_gap_to_next_inview_impression_time_rank,66349.8254392147
cooccur_count_min_norm,66052.65928602219
total_read_time,65923.57274651527
total_inviews_norm,65794.2196905613
published_time_diff_mean-published_time_diff,64498.09319281578
mean_history_published_time_diff,64321.54107427597
published_time_diff_mean,62919.89682626724
past_inview_count_min/past_inview_count,62666.00452375412
published_time_diff_min,60094.53359866142
rounded_1h_inview_count_median/rounded_1h_inview_count,56716.74487781525
article_label_negative_score,56396.247715473175
published_time_diff_max,50426.26857829094
rounded_20m_inview_count_median/rounded_20m_inview_count,50418.78047275543
cooccur_count_min,50316.36311006546
rounded_1h_inview_count_kurtosis,48255.7405962944
rounded_24h_inview_count_max-rounded_24h_inview_count,48051.078392505646
total_pageviews_min,47271.81688594818
time_gap_from_prev_inview_impression_time_rank,45804.398775815964
total_inviews_std,45405.628024339676
rounded_2m_inview_count_median-rounded_2m_inview_count,45196.01443338394
total_pageviews_norm_rank,43646.63568043709
rounded_12h_inview_count_max-rounded_12h_inview_count,43136.04459857941
next_impression_id_mean_cossim_rank,42400.86565542221
total_inviews_min,42063.628140449524
user_last_impression_time-publish_time_diff,40862.849034786224
published_time_diff_max-published_time_diff,40137.51110839844
total_pageviews_mean,38956.07070231438
cooccur_count_mean,38190.375254154205
rounded_24h_inview_count,37827.352880477905
rounded_30m_inview_count_median/rounded_30m_inview_count,37641.0314245224
total_pageviews_norm,37199.76684188843
total_read_time_norm,37035.65348291397
published_time_diff_min-published_time_diff_rank,35698.267864227295
time_gap_from_prev_inview_impression_time_max,35268.81102538109
premium,35244.051359176636
category_click_cossim_w2v_mean,35125.61303687096
max_past_category_count_count,35032.9624042511
past_category_count,34950.29644155502
cooccur_count_sum_norm,34791.164724588394
scroll_percentage,34491.0684838295
rounded_3h_inview_count_rank,33835.36382198334
median_history_published_time_diff,33590.64390349388
cooccur_count_std_norm,33557.84687995911
published_time_diff_mean/published_time_diff,33014.0333070755
published_time_diff_std,32424.548706054688
inview_count_skew,31455.03202867508
rounded_6h_inview_count_median/rounded_6h_inview_count,30901.1389067173
rounded_12h_inview_count,30783.614547729492
published_time_diff_max/published_time_diff,29104.05894589424
inview_count_mean-inview_count,28484.96079158783
rounded_1m_inview_count_median/rounded_1m_inview_count,28073.12389111519
article_label_neutral_score,27580.830595731735
rounded_10m_inview_count_median-rounded_10m_inview_count,27538.896055459976
total_inviews_mean,27297.951796531677
past_inview_count_median/past_inview_count,27176.049315214157
rounded_6h_inview_count,27118.645807266235
total_read_time_min,26531.109474420547
number_of_images,26368.484542131424
rounded_1h_inview_count_min/rounded_1h_inview_count,26176.92329096794
hour,25719.50868010521
rounded_2h_inview_count_norm,24828.861855506897
inview_count_mean/inview_count,24633.520738601685
rounded_2m_inview_count_min-rounded_2m_inview_count,24487.89932155609
min_history_published_time_diff,24423.748560905457
total_read_time_norm_rank,24417.17382121086
rounded_2m_inview_count_max/rounded_2m_inview_count,24414.576332569122
total_inviews_median,24348.097972393036
past_inview_count_mean-past_inview_count,23709.246433973312
inview_cossim_w2v_user_id,23429.85873413086
next_impression_id_max_cossim,23380.73392868042
rounded_2h_inview_count,23168.14198255539
rounded_1h_inview_count_skew,23102.041380643845
rounded_2m_inview_count_norm,23047.312789916992
total_inviews_skew,23032.44937801361
inview_count_min/inview_count,22831.486833810806
article_label_positive_score,22776.962247133255
rounded_3m_inview_count_max-rounded_3m_inview_count,22724.487675189972
total_pageviews_std,22469.952268600464
click_cossim_w2v_mean_1,22420.275435447693
rounded_3h_inview_count_mean/rounded_3h_inview_count,22393.68500971794
rounded_3m_inview_count_median-rounded_3m_inview_count,21610.30581355095
rounded_3h_inview_count,21565.214874267578
max_history_published_time_diff,21563.613540410995
published_time_diff_norm,21469.695987462997
rounded_10m_inview_count_norm,21317.478048563004
rounded_12h_inview_count_median/rounded_12h_inview_count,21246.874364614487
rounded_12h_inview_count_min,21117.29324245453
total_pageviews_median,21103.613124847412
rounded_3h_inview_count_max-rounded_3h_inview_count,21081.063339710236
past_inview_count_mean/past_inview_count,20962.818662643433
rounded_5m_inview_count_norm,20942.20827484131
rounded_3h_inview_count_kurtosis,20931.87123775482
is_premium_subscriber,20571.822553634644
rounded_30m_inview_count_kurtosis,20551.41492486
rounded_1h_inview_count_mean/rounded_1h_inview_count,20454.552714824677
rounded_1m_inview_count_min/rounded_1m_inview_count,20144.53694987297
next_impression_id_min_cossim,20130.91847372055
rounded_3m_inview_count_min/rounded_3m_inview_count,19958.190165042877
rounded_24h_inview_count_min,19926.91603064537
total_pageviews_skew,19729.524828910828
rounded_3m_inview_count_norm,19667.07340669632
rounded_24h_inview_count_max,19631.153549194336
next_impression_id_max_cossim_rank,19608.303151369095
rounded_24h_inview_count_mean/rounded_24h_inview_count,19435.35008096695
inview_cossim_w2v_session_id,19371.17209148407
rounded_1m_inview_count_median-rounded_1m_inview_count,19321.52857208252
rounded_3h_inview_count_mean-rounded_3h_inview_count,19132.7829682827
rounded_1h_inview_count_median-rounded_1h_inview_count,18790.081516981125
rounded_6h_inview_count_max-rounded_6h_inview_count,18716.160491466522
rounded_24h_inview_count_median/rounded_24h_inview_count,18590.204921722412
rounded_20m_inview_count_kurtosis,18520.70242547989
total_read_time_skew,18236.161773443222
total_pageviews_kurtosis,18110.20675969124
inview_count_kurtosis,17866.23876929283
rounded_24h_inview_count_min/rounded_24h_inview_count,17776.047199249268
published_time_diff_min/published_time_diff,17741.456462860107
rounded_1h_inview_count,17653.714086055756
rounded_1h_inview_count_norm,17559.64472746849
w2v_individual_min_cossim_norm,17538.869110107422
rounded_15m_inview_count_min/rounded_15m_inview_count,17524.389227628708
rounded_30m_inview_count_skew,17356.138643980026
past_inview_count_skew,17319.179641246796
rounded_24h_inview_count_kurtosis,17195.450078487396
total_read_time_kurtosis,17098.286712646484
rounded_15m_inview_count_kurtosis,17081.742059230804
rounded_6h_inview_count_max,17057.007877111435
rounded_24h_inview_count_min-rounded_24h_inview_count,16948.513235569
rounded_6h_inview_count_min-rounded_6h_inview_count,16849.074412107468
total_read_time_std,16714.68497467041
rounded_30m_inview_count_mean/rounded_30m_inview_count,16701.302929878235
rounded_12h_inview_count_mean/rounded_12h_inview_count,16473.21440219879
rounded_5m_inview_count_min-rounded_5m_inview_count,16323.033237695694
rounded_24h_inview_count_mean-rounded_24h_inview_count,16317.45140504837
rounded_12h_inview_count_std,16235.513837337494
time_gap_to_next_inview_impression_time_min/time_gap_to_next_inview_impression_time,16204.381941318512
total_read_time_median,16115.111226797104
rounded_6h_inview_count_rank,16103.3486161232
rounded_24h_inview_count_std,16078.333628177643
rounded_10m_inview_count_max/rounded_10m_inview_count,16076.478363990784
next_impression_id_min_cossim_rank,16062.005153179169
rounded_5m_inview_count_min/rounded_5m_inview_count,16042.916003227234
rounded_12h_inview_count_min-rounded_12h_inview_count,15912.205306768417
time_gap_from_prev_inview_impression_time_median,15865.440099716187
rounded_1h_inview_count_max-rounded_1h_inview_count,15843.740712165833
rounded_30m_inview_count_norm,15831.433505058289
rounded_3m_inview_count_min-rounded_3m_inview_count,15794.964371442795
total_pageviews_max,15771.639348268509
rounded_24h_inview_count_median-rounded_24h_inview_count,15696.54370188713
rounded_2m_inview_count_min/rounded_2m_inview_count,15587.043667793274
inview_count_median/inview_count,15525.259015321732
rounded_12h_inview_count_median-rounded_12h_inview_count,15488.332793235779
rounded_24h_inview_count_skew,15351.302882671356
rounded_12h_inview_count_skew,15351.272267103195
rounded_3h_inview_count_norm,15201.481146812439
time_gap_to_next_inview_impression_time_max,15133.912406921387
article_read_count_v2,15116.005146503448
rounded_12h_inview_count_kurtosis,14964.63423204422
rounded_3h_inview_count_median-rounded_3h_inview_count,14953.790971040726
rounded_2m_inview_count_mean/rounded_2m_inview_count,14799.337759017944
rounded_3h_inview_count_skew,14616.422077178955
rounded_1m_inview_count_min-rounded_1m_inview_count,14507.589972734451
w2v_individual_quantile_q10_cossim_norm,14490.761364221573
rounded_6h_inview_count_mean/rounded_6h_inview_count,14469.100933074951
rounded_12h_inview_count_median,14411.915693283081
time_gap_to_next_inview_impression_time_median,14399.98404097557
rounded_3h_inview_count_max/rounded_3h_inview_count,14356.391820669174
rounded_12h_inview_count_max,14302.212324619293
time_gap_to_next_inview_impression_time_min,14150.334691286087
total_inviews_max,14147.35500407219
rounded_3h_inview_count_min/rounded_3h_inview_count,14146.348234653473
rounded_1h_inview_count_mean-rounded_1h_inview_count,14127.319555282593
rounded_12h_inview_count_mean-rounded_12h_inview_count,14085.973076820374
rounded_3h_inview_count_min-rounded_3h_inview_count,14019.374453306198
rounded_15m_inview_count_norm,13934.226699352264
total_read_time_mean,13850.232230901718
rounded_24h_inview_count_norm,13795.981093883514
rounded_6h_inview_count_kurtosis,13788.005846261978
rounded_6h_inview_count_skew,13722.968240261078
rounded_30m_inview_count_median-rounded_30m_inview_count,13695.877828836441
rounded_30m_inview_count_min-rounded_30m_inview_count,13596.536504030228
rounded_1m_inview_count_skew,13538.404958963394
total_read_time_max,13531.211522102356
rounded_3m_inview_count_kurtosis,13493.922592878342
rounded_15m_inview_count_skew,13421.519894599915
rounded_6h_inview_count_median,13403.621138095856
rounded_1m_inview_count_mean/rounded_1m_inview_count,13277.307287216187
rounded_24h_inview_count_median,13215.828321695328
rounded_1m_inview_count_kurtosis,13208.224192857742
rounded_30m_inview_count,13074.706799507141
inview_count_median-inview_count,13012.739927768707
rounded_2m_inview_count_kurtosis,12991.939628124237
rounded_24h_inview_count_mean,12939.140532493591
rounded_10m_inview_count_max-rounded_10m_inview_count,12903.165182113647
rounded_20m_inview_count_median-rounded_20m_inview_count,12814.825120449066
rounded_1m_inview_count_mean-rounded_1m_inview_count,12811.234100341797
rounded_5m_inview_count_max-rounded_5m_inview_count,12805.493523836136
minute,12765.164561986923
rounded_5m_inview_count,12655.630165576935
rounded_6h_inview_count_std,12621.236185312271
rounded_24h_inview_count_rank,12590.488543510437
rounded_30m_inview_count_min/rounded_30m_inview_count,12583.302020549774
rounded_20m_inview_count_min-rounded_20m_inview_count,12540.037420272827
rounded_6h_inview_count_median-rounded_6h_inview_count,12401.120460271835
time_gap_from_prev_inview_impression_time_min,12360.062000989914
rounded_20m_inview_count_skew,12139.967101812363
rounded_3h_inview_count_median,12135.792285203934
rounded_30m_inview_count_max/rounded_30m_inview_count,12084.8308801651
rounded_12h_inview_count_rank,12025.328038930893
rounded_10m_inview_count_min/rounded_10m_inview_count,12013.85786485672
w2v_individual_quantile_q75_cossim_norm,11968.81683254242
rounded_6h_inview_count_mean-rounded_6h_inview_count,11875.678510427475
rounded_3h_inview_count_std,11827.891749382019
click_cossim_item2vec_scroll_mean_0,11824.590967655182
rounded_1h_inview_count_min-rounded_1h_inview_count,11815.740900039673
rounded_2m_inview_count_skew,11798.515672683716
w2v_individual_quantile_q25_cossim_norm,11755.203741788864
rounded_1h_inview_count_median,11626.728416919708
rounded_12h_inview_count_norm,11589.166631221771
rounded_3h_inview_count_min,11584.42349267006
rounded_10m_inview_count,11497.693774461746
rounded_3m_inview_count_mean/rounded_3m_inview_count,11399.132387638092
rounded_6h_inview_count_min/rounded_6h_inview_count,11277.082108259201
rounded_15m_inview_count,11218.511789798737
rounded_1h_inview_count_max/rounded_1h_inview_count,11197.279855012894
rounded_3m_inview_count_skew,11168.091715574265
rounded_15m_inview_count_mean/rounded_15m_inview_count,11163.989968299866
time_gap_to_next_inview_impression_time_mean,11147.144549369812
rounded_12h_inview_count_mean,11116.89139676094
rounded_20m_inview_count,11049.71662735939
rounded_1h_inview_count_std,11035.007452726364
past_inview_count_kurtosis,11008.55032157898
rounded_30m_inview_count_mean-rounded_30m_inview_count,11005.55394744873
rounded_20m_inview_count_min/rounded_20m_inview_count,10990.109840869904
time_gap_from_prev_inview_impression_time_median/time_gap_from_prev_inview_impression_time,10885.553035259247
second,10852.237901210785
rounded_12h_inview_count_min/rounded_12h_inview_count,10846.657345533371
rounded_5m_inview_count_max/rounded_5m_inview_count,10733.029978275299
rounded_5m_inview_count_kurtosis,10688.280726194382
rounded_6h_inview_count_mean,10641.65912938118
rounded_15m_inview_count_max/rounded_15m_inview_count,10429.156093120575
