feature_name,importance
published_time_diff,1361164.1721959114
published_time_diff_min-published_time_diff,1165192.1205945015
count_article_ids_inview,763733.3481810093
pageviews/inviews,633420.5222404003
past_category_ratio,540805.8873822689
past_inview_count_rank,539129.1703903675
category,532265.9979908466
published_time_diff_median,474211.06679201126
cooccur_count_sum,444585.914100647
published_time_diff_skew,409401.46535491943
mean_count_article_ids_inview,344927.1280448437
published_time_diff_median-published_time_diff,296085.77976870537
total_pageviews,283743.1554057598
rounded_3m_inview_count_rank,261799.79593729973
published_time_diff_kurtosis,238645.95789432526
rounded_3m_inview_count_median/rounded_3m_inview_count,229912.00253915787
rounded_2m_inview_count_rank,211795.4616844654
rounded_5m_inview_count_rank,211590.45888519287
rounded_2m_inview_count_median/rounded_2m_inview_count,203324.44851398468
rounded_15m_inview_count_rank,200645.52359557152
read_time/inviews,179085.37623763084
published_time_diff_median/published_time_diff,162609.93341612816
time_gap_to_next_inview_impression_time,159643.40196585655
rounded_10m_inview_count_rank,150951.75275588036
total_inviews,142272.70119547844
rounded_30m_inview_count_rank,133697.60044956207
rounded_5m_inview_count_median/rounded_5m_inview_count,126613.00792646408
device_type,123559.9029610157
rounded_1h_inview_count_rank,123247.71648859978
inview_count_rank,121036.58390808105
cooccur_count_max,119746.5653848648
published_time_diff_rank,118132.74391198158
category_click_cossim_xlm_scroll_mean,116751.96633863449
cossim__xlm__is_subscriber,115240.76040530205
cooccur_count_std,109807.75585436821
cossim__xlm__is_sso_user,104310.67808866501
cooccur_count_max_norm,96595.25689911842
rounded_3h_inview_count_median/rounded_3h_inview_count,96049.69955468178
total_inviews_kurtosis,94795.50459575653
click_cossim_xlm_scroll_mean_0,93840.22305488586
rounded_20m_inview_count_rank,91767.51978111267
rounded_10m_inview_count_median/rounded_10m_inview_count,89554.25869703293
rounded_1m_inview_count_rank,89216.72446227074
time_gap_from_prev_inview_impression_time,88075.99886536598
category_click_cossim_xlm_read_time_mean,87672.91655278206
click_cossim_xlm_mean_0,87441.6210846901
median_count_article_ids_inview,86892.54510068893
inview_cossim_xlm_impression_id,84031.67499542236
cossim__xlm__device_type,79642.85915970802
xlm_individual_max_cossim_norm,78352.52668094635
next_impression_id_mean_cossim,73385.86258077621
cooccur_count_min_norm,72031.88015341759
mean_history_published_time_diff,69476.36968231201
read_time,68765.97026491165
total_inviews_norm_rank,66704.1865208149
time_gap_to_next_inview_impression_time_rank,65814.95396018028
rounded_15m_inview_count_median/rounded_15m_inview_count,65112.93527650833
total_read_time,65000.26831150055
published_time_diff_mean-published_time_diff,64297.63348031044
total_inviews_norm,62488.878984212875
published_time_diff_min,59678.05160450935
